date,Ask
2022-03-23 18:42:33.820,4476.33
2022-03-23 18:42:34.457,4476.32
2022-03-23 18:42:34.960,4476.36
2022-03-23 18:42:36.439,4476.33
2022-03-23 18:42:36.723,4476.33
2022-03-23 18:42:37.930,4476.36
2022-03-23 18:42:40.315,4476.07
2022-03-23 18:42:41.532,4476.09
2022-03-23 18:42:42.023,4476.08
2022-03-23 18:42:44.947,4476.08
2022-03-23 18:42:45.921,4476.07
2022-03-23 18:42:47.245,4475.84
2022-03-23 18:42:47.848,4475.83
2022-03-23 18:42:50.454,4475.76
2022-03-23 18:42:51.213,4475.92
2022-03-23 18:42:53.146,4476.07
2022-03-23 18:42:53.854,4476.08
2022-03-23 18:42:54.466,4475.8
2022-03-23 18:42:54.666,4475.84
2022-03-23 18:42:55.152,4475.83
2022-03-23 18:42:56.269,4475.56
2022-03-23 18:42:56.920,4475.61
2022-03-23 18:42:57.401,4475.65
2022-03-23 18:42:57.920,4475.81
2022-03-23 18:42:58.142,4475.86
2022-03-23 18:42:58.804,4476.34
2022-03-23 18:42:59.723,4476.32
2022-03-23 18:43:00.264,4476.07
2022-03-23 18:43:01.458,4476.13
2022-03-23 18:43:01.877,4476.06
2022-03-23 18:43:02.464,4476.04
2022-03-23 18:43:02.782,4476.08
2022-03-23 18:43:03.285,4476.08
2022-03-23 18:43:03.810,4475.33
2022-03-23 18:43:04.490,4475.35
2022-03-23 18:43:05.528,4475.36
2022-03-23 18:43:05.866,4475.35
2022-03-23 18:43:06.872,4475.35
2022-03-23 18:43:07.953,4475.33
2022-03-23 18:43:09.269,4474.83
2022-03-23 18:43:10.023,4475.06
2022-03-23 18:43:10.847,4475.08
2022-03-23 18:43:11.226,4475.09
2022-03-23 18:43:11.944,4475.08
2022-03-23 18:43:12.451,4475.1
2022-03-23 18:43:13.400,4475.36
2022-03-23 18:43:15.372,4475.07
2022-03-23 18:43:15.972,4475.05
2022-03-23 18:43:16.345,4474.81
2022-03-23 18:43:18.532,4474.83
2022-03-23 18:43:18.762,4474.83
2022-03-23 18:43:20.848,4474.99
2022-03-23 18:43:21.271,4475.1
2022-03-23 18:43:21.730,4475.08
2022-03-23 18:43:22.158,4475.05
2022-03-23 18:43:22.807,4475.1
2022-03-23 18:43:23.239,4475.07
2022-03-23 18:43:23.976,4475.04
2022-03-23 18:43:24.441,4475.06
2022-03-23 18:43:25.011,4475.03
2022-03-23 18:43:25.519,4475.1
2022-03-23 18:43:25.936,4475.08
2022-03-23 18:43:26.217,4475.1
2022-03-23 18:43:26.766,4475.37
2022-03-23 18:43:27.902,4475.57
2022-03-23 18:43:28.993,4475.33
2022-03-23 18:43:30.995,4475.61
2022-03-23 18:43:31.998,4475.82
2022-03-23 18:43:32.721,4475.61
2022-03-23 18:43:33.527,4475.6
2022-03-23 18:43:34.227,4475.61
2022-03-23 18:43:34.802,4475.6
2022-03-23 18:43:35.217,4475.58
2022-03-23 18:43:35.762,4475.32
2022-03-23 18:43:36.301,4475.08
2022-03-23 18:43:36.732,4475.08
2022-03-23 18:43:37.321,4475.1
2022-03-23 18:43:38.232,4475.08
2022-03-23 18:43:39.530,4475.09
2022-03-23 18:43:39.767,4475.08
2022-03-23 18:43:40.475,4475.07
2022-03-23 18:43:41.120,4475.12
2022-03-23 18:43:42.350,4475.08
2022-03-23 18:43:42.770,4475.08
2022-03-23 18:43:44.422,4475.34
2022-03-23 18:43:44.689,4475.36
2022-03-23 18:43:46.751,4475.31
2022-03-23 18:43:48.436,4475.34
2022-03-23 18:43:48.814,4475.37
2022-03-23 18:43:49.283,4475.36
2022-03-23 18:43:50.509,4475.36
2022-03-23 18:43:51.455,4475.57
2022-03-23 18:43:53.515,4475.33
2022-03-23 18:43:53.651,4475.32
2022-03-23 18:43:56.756,4475.07
2022-03-23 18:43:57.422,4475.08
2022-03-23 18:43:57.708,4475.08
2022-03-23 18:43:58.273,4475.08
2022-03-23 18:43:58.847,4475.09
2022-03-23 18:44:00.979,4475.12
2022-03-23 18:44:01.477,4475.34
2022-03-23 18:44:01.973,4475.35
2022-03-23 18:44:03.207,4475.36
2022-03-23 18:44:03.968,4475.78
2022-03-23 18:44:05.004,4475.82
2022-03-23 18:44:05.285,4475.83
2022-03-23 18:44:05.768,4475.84
2022-03-23 18:44:06.302,4475.82
2022-03-23 18:44:06.719,4475.87
2022-03-23 18:44:08.443,4475.87
2022-03-23 18:44:10.903,4475.83
2022-03-23 18:44:12.155,4476.1
2022-03-23 18:44:13.884,4476.39
2022-03-23 18:44:14.513,4476.34
2022-03-23 18:44:15.022,4476.31
2022-03-23 18:44:16.519,4476.59
2022-03-23 18:44:16.973,4476.57
2022-03-23 18:44:17.947,4476.37
2022-03-23 18:44:18.494,4476.35
2022-03-23 18:44:19.022,4476.32
2022-03-23 18:44:20.505,4476.58
2022-03-23 18:44:20.865,4476.61
2022-03-23 18:44:21.243,4476.6
2022-03-23 18:44:21.968,4476.6
2022-03-23 18:44:22.532,4476.62
